enddate,samplesize,results,favorability_r,favorability_d
9/13/2016,800.0,1,-6.266109999999998,-7.145919999999997
9/13/2016,800.0,1,-6.266109999999998,-7.196109999999997
9/13/2016,800.0,1,-6.266109999999998,-7.1269300000000015
10/26/2016,1176.0,1,-12.228299999999996,-8.213729999999998
10/26/2016,1176.0,1,-12.228299999999996,-8.338099999999997
10/26/2016,1176.0,1,-12.228299999999996,-8.236989999999999
10/23/2016,1155.0,1,-11.646189999999995,-1.9682200000000023
10/23/2016,1155.0,1,-11.646189999999995,-2.23395
10/23/2016,1155.0,1,-11.646189999999995,-2.155299999999997
10/6/2016,896.0,1,-5.520919999999997,-4.387410000000003
10/6/2016,896.0,1,-5.520919999999997,-4.554160000000003
10/6/2016,896.0,1,-5.520919999999997,-4.380659999999999
9/22/2016,1107.0,1,-5.966200000000001,-3.0626000000000038
9/22/2016,1107.0,1,-5.966200000000001,-3.1504800000000017
9/22/2016,1107.0,1,-5.966200000000001,-3.07611
9/19/2016,1251.0,1,-7.91196,-3.4681399999999982
9/19/2016,1251.0,1,-7.91196,-4.005879999999998
9/19/2016,1251.0,1,-7.91196,-3.7308400000000006
10/25/2016,1195.0,1,-12.33506,-7.4247900000000016
10/25/2016,1195.0,1,-12.33506,-7.5600200000000015
10/25/2016,1195.0,1,-12.33506,-7.448
10/30/2016,993.0,1,-6.170929999999999,-3.752830000000003
10/30/2016,993.0,1,-6.170929999999999,-3.743699999999997
10/30/2016,993.0,1,-6.170929999999999,-3.6591299999999976
9/25/2016,1115.0,1,-5.740349999999999,-3.8575000000000017
9/25/2016,1115.0,1,-5.740349999999999,-3.942790000000002
9/25/2016,1115.0,1,-5.740349999999999,-3.919089999999997
10/29/2016,1039.0,1,-8.005780000000001,-4.410229999999999
10/29/2016,1039.0,1,-8.005780000000001,-4.422440000000002
10/29/2016,1039.0,1,-8.005780000000001,-4.319560000000003
10/24/2016,1167.0,1,-10.861130000000005,-8.02232
10/24/2016,1167.0,1,-10.861130000000005,-8.16545
10/24/2016,1167.0,1,-10.861130000000005,-8.045479999999998
10/28/2016,1013.0,1,-8.7564,-4.052880000000002
10/28/2016,1013.0,1,-8.7564,-4.084350000000001
10/28/2016,1013.0,1,-8.7564,-3.9649300000000025
10/23/2016,1181.0,1,-11.708530000000003,-8.01466
10/23/2016,1181.0,1,-11.708530000000003,-8.16789
10/23/2016,1181.0,1,-11.708530000000003,-8.037840000000003
10/5/2016,1500.0,1,-4.3640199999999965,-7.692579999999999
10/5/2016,1500.0,1,-4.3640199999999965,-7.800519999999999
10/5/2016,1500.0,1,-4.3640199999999965,-7.691200000000002
10/8/2016,971.0,1,-8.098770000000002,-4.38541
10/8/2016,971.0,1,-8.098770000000002,-4.6965
10/8/2016,971.0,1,-8.098770000000002,-4.442549999999997
9/19/2016,922.0,1,-9.863529999999995,-5.74776
9/19/2016,922.0,1,-9.863529999999995,-5.527810000000002
9/19/2016,922.0,1,-9.863529999999995,-5.811700000000002
9/29/2016,911.0,1,-7.668179999999999,-4.701349999999998
9/29/2016,911.0,1,-7.668179999999999,-4.78669
9/29/2016,911.0,1,-7.668179999999999,-4.70411
10/27/2016,973.0,1,-8.305239999999998,-4.798380000000002
10/27/2016,973.0,1,-8.305239999999998,-4.849339999999998
