Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Operations
1148596,24-Jun-18,Ohio,Sandusky,1504 Milan Rd,0,5,0,0,0,N/A
1148042,23-Jun-18,Kansas,Wichita,1403 Harding  St,0,4,0,0,0,N/A
1147720,23-Jun-18,Illinois,Chicago,100 block of East 51st St,1,4,0,0,0,N/A
1161366,23-Jun-18,Tennessee,Covington,319 N High St,0,4,0,0,0,N/A
1147323,22-Jun-18,Pennsylvania,Homestead (Munhall),1324 Margaret St,1,3,0,0,0,N/A
1146968,21-Jun-18,California,San Bernardino,279 W Base Line,1,3,0,0,0,N/A
1146760,21-Jun-18,Louisiana,Morganza,Deaton Ln,0,4,0,0,0,N/A
1146547,21-Jun-18,Illinois,Chicago,6500 block of S Claremont Ave,0,4,0,0,0,N/A
1145709,20-Jun-18,California,Modesto,2300 block of West Hatch Road,0,5,0,0,0,N/A
1145881,19-Jun-18,Alabama,Huntsville,905 Lee Dr NW,0,4,0,0,1,N/A
1144852,18-Jun-18,Illinois,Bloomington,311 Riley Dr,3,1,0,0,1,N/A
1143558,18-Jun-18,Illinois,Chicago,1300 block of S Loomis St,2,3,0,0,0,N/A
1143135,17-Jun-18,North Carolina,Charlotte,3215 Queen City Dr,0,4,0,0,0,N/A
1142789,17-Jun-18,New Jersey,Trenton,635 S Clinton Ave,0,17,1,2,2,N/A
1143081,17-Jun-18,Georgia,Macon,325 Edgewood Ln,1,3,0,0,1,N/A
1143524,17-Jun-18,Illinois,Chicago,2200 block of S Sacramento Ave,0,4,0,0,0,N/A
1141645,14-Jun-18,California,Union City,32992 Mission Blvd,0,5,0,0,0,N/A
1141745,14-Jun-18,New York,Buffalo,Marigold Ave,1,4,0,0,0,N/A
1141943,14-Jun-18,California,Tracy,West 6th Street,1,4,0,0,1,N/A
1141108,14-Jun-18,Colorado,Westminster,5150 W 80th Ave,1,3,0,0,1,N/A
1142145,14-Jun-18,Pennsylvania,Philadelphia,400 block of Penn St,0,4,0,0,0,N/A
1139320,12-Jun-18,New York,Bronx,W 166th St and  Summit Ave,0,4,0,0,0,N/A
1139176,11-Jun-18,Alabama,Montgomery,3220 block of Virginia Pines Ln,0,4,0,0,3,N/A
1138324,11-Jun-18,Florida,Orlando,4932 Eaglesmere Dr,5,0,1,0,0,N/A
1137435,10-Jun-18,California,Valley Village,12719 Tiara St,0,6,0,0,0,N/A
1137586,10-Jun-18,Indiana,Indianapolis (Lawrence),4745 N Richardt Ave,1,4,0,0,1,N/A
1137547,10-Jun-18,Illinois,Aurora,300 block of W Park Ave,0,7,0,0,0,N/A
1137600,10-Jun-18,Florida,Bradenton,5627 14th St W,1,5,0,0,2,N/A
1137473,10-Jun-18,Illinois,Chicago,6400 block of S Eberhart Ave,1,5,0,0,0,N/A
1137848,10-Jun-18,Illinois,Bloomington,1200 block of Orchard Rd,2,2,0,0,1,N/A
1137737,9-Jun-18,North Carolina,Kannapolis,1709 S Cannon Blvd,0,4,0,0,0,N/A
1136928,9-Jun-18,Massachusetts,Boston,14 Copeland St,0,4,0,0,1,N/A
1137402,9-Jun-18,Pennsylvania,Philadelphia,2000 block of 20th St,1,4,0,0,0,N/A
1134378,5-Jun-18,Florida,Jacksonville,Town Center Pkwy,3,1,0,0,0,N/A
1132408,3-Jun-18,Texas,Dallas,4500 Spring Ave,0,5,0,0,0,N/A
1131909,3-Jun-18,Illinois,Chicago,1200 block of W 73rd Pl,1,3,0,0,0,N/A
1131855,2-Jun-18,Nebraska,Omaha,S 11th St and Farnam St,1,6,0,0,1,N/A
1132050,2-Jun-18,New York,Buffalo,Strauss Street,0,5,0,0,0,N/A
1129432,31-May-18,South Carolina,Timmonsville,544 Chaney Grove Rd,3,2,0,0,1,N/A
1126712,27-May-18,Louisiana,Shreveport,857 E Stoner Ave,0,4,0,0,1,N/A
